B2,B3,B4,B5,B6,B7,landcover
0.0812,0.0972,0.1018,0.1158,0.134,0.1167,0
0.06555,0.0814,0.0911,0.13265,0.1327,0.1127,0
0.0795,0.10585,0.1249,0.22045,0.2118,0.17435,0
0.0915,0.116,0.1234,0.1418,0.1567,0.1414,0
0.0914,0.11965,0.1325,0.16015,0.1763,0.1489,0
0.0713,0.0901,0.0969,0.1917,0.1582,0.1209,0
0.09515,0.1077,0.10905,0.1666,0.1623,0.13055,0
0.061,0.0792,0.0843,0.175,0.1432,0.1099,0
0.2232,0.25865,0.2811,0.30405,0.3003,0.2019,0
0.08375,0.0998,0.1042,0.163,0.1448,0.11895,0
0.1794,0.2182,0.23495,0.23595,0.2718,0.28215,0
0.1297,0.1788,0.1925,0.207,0.2545,0.2454,0
0.2375,0.2656,0.2717,0.2696,0.3156,0.3432,0
0.15275,0.1752,0.1786,0.1797,0.1754,0.1632,0
0.201,0.2345,0.2452,0.2395,0.2287,0.1962,0
0.1831,0.2263,0.2334,0.26515,0.3525,0.30925,0
0.47685,0.54215,0.5874,0.62745,0.52245,0.2726,0
0.164,0.1851,0.2009,0.2224,0.2298,0.1869,0
0.12665,0.1514,0.1658,0.1812,0.18025,0.14665,0
0.0609,0.0883,0.1122,0.2311,0.2156,0.1577,0
0.0596,0.0697,0.0714,0.0971,0.1163,0.1069,0
0.07915,0.1196,0.13505,0.1639,0.22555,0.2038,0
0.0966,0.1208,0.1352,0.1859,0.1684,0.1277,0
0.0821,0.0976,0.1002,0.125,0.1368,0.1143,0
0.04915,0.06965,0.08975,0.1729,0.2126,0.1515,1
0.0404,0.0565,0.0664,0.159,0.2191,0.1327,1
0.0404,0.0548,0.0523,0.1602,0.1748,0.1078,1
0.0317,0.049,0.044,0.2622,0.1466,0.0697,1
0.034,0.04655,0.0503,0.16545,0.166,0.10295,1
0.0545,0.078,0.0883,0.2284,0.2684,0.1763,1
0.04055,0.0586,0.05705,0.1842,0.2059,0.1249,1
0.0395,0.0623,0.0635,0.198,0.2051,0.1245,1
0.0311,0.0561,0.049,0.2582,0.1975,0.1071,1
0.0225,0.0432,0.0302,0.1943,0.1404,0.0723,1
0.0243,0.0444,0.0369,0.2312,0.1618,0.0871,1
0.01865,0.03915,0.03135,0.2032,0.13175,0.0681,1
0.01255,0.0255,0.01805,0.19185,0.0664,0.0275,1
0.01355,0.0287,0.0189,0.25105,0.0806,0.03105,1
0.0252,0.0399,0.0352,0.1882,0.1326,0.0718,1
0.0419,0.074,0.0858,0.2874,0.2223,0.1462,1
0.0248,0.0453,0.0403,0.2443,0.1557,0.081,1
0.01645,0.0353,0.0249,0.2556,0.1118,0.0469,1
0.0421,0.0664,0.0921,0.2356,0.2334,0.1443,1
0.0386,0.0657,0.0802,0.28645,0.2192,0.1232,1
0.0526,0.0833,0.1326,0.2944,0.3279,0.2034,1
0.0688,0.11115,0.1631,0.31355,0.32775,0.20435,1
0.0522,0.06205,0.0366,0.0114,0.0068,0.00525,2
0.0508,0.0582,0.03665,0.0104,0.00585,0.00475,2
0.0484,0.0587,0.0371,0.0099,0.0061,0.0043,2
0.0529,0.0599,0.0319,0.0096,0.0058,0.005,2
0.04785,0.05115,0.02795,0.00885,0.0053,0.00445,2
0.04735,0.0543,0.03135,0.00805,0.00475,0.00425,2
0.052,0.06205,0.0368,0.0113,0.0074,0.0059,2
0.04395,0.05025,0.0251,0.00965,0.0051,0.00345,2
0.0458,0.0509,0.0266,0.0126,0.00915,0.00685,2
0.039,0.0432,0.0215,0.0103,0.007,0.0053,2
0.0362,0.03715,0.01805,0.00795,0.00605,0.00445,2
0.0403,0.0431,0.0229,0.008,0.0053,0.0041,2
0.0428,0.0416,0.0225,0.0078,0.0053,0.0038,2
0.0416,0.0419,0.0215,0.0087,0.0054,0.0041,2
0.0435,0.0443,0.0225,0.0107,0.00695,0.00545,2
0.0383,0.0401,0.0199,0.0084,0.0058,0.0043,2
0.04,0.0448,0.0232,0.0093,0.0073,0.00545,2
0.037,0.03545,0.0185,0.0071,0.00615,0.005,2
0.0484,0.0547,0.0304,0.012,0.0076,0.0059,2
0.0508,0.0597,0.034,0.0128,0.0084,0.0066,2
0.047,0.0556,0.0335,0.0123,0.0081,0.0057,2
0.0561,0.0712,0.05,0.0147,0.0057,0.004,2
0.05255,0.062,0.0435,0.0117,0.00785,0.00555,2
0.049,0.0623,0.04015,0.0099,0.0049,0.00385,2
0.0545,0.0651,0.0428,0.0119,0.0061,0.0042,2
0.05045,0.067,0.05055,0.0175,0.0091,0.00725,2
0.0576,0.0711,0.0528,0.0149,0.0068,0.0054,2
0.0509,0.0627,0.0477,0.0132,0.0055,0.0042,2
